Using device: cuda

[Data Distribution] Real: 1016  Fake: 3048  Total: 4064
[Val set] 5459 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 10/508 | Loss: 1.5061 (bce=1.0639 aux_ce=1.1056)
  Batch 20/508 | Loss: 1.9392 (bce=1.1944 aux_ce=1.8618)
  Batch 30/508 | Loss: 1.8523 (bce=1.0788 aux_ce=1.9337)
  Batch 40/508 | Loss: 1.5059 (bce=0.7386 aux_ce=1.9182)
  Batch 50/508 | Loss: 1.5091 (bce=0.9606 aux_ce=1.3714)
  Batch 60/508 | Loss: 1.1653 (bce=0.8061 aux_ce=0.8980)
  Batch 70/508 | Loss: 1.3046 (bce=0.9946 aux_ce=0.7750)
  Batch 80/508 | Loss: 0.9289 (bce=0.6769 aux_ce=0.6301)
  Batch 90/508 | Loss: 1.1314 (bce=0.5807 aux_ce=1.3768)
  Batch 100/508 | Loss: 1.6645 (bce=1.1821 aux_ce=1.2059)
  Batch 110/508 | Loss: 1.1423 (bce=0.9344 aux_ce=0.5199)
  Batch 120/508 | Loss: 1.4237 (bce=0.8653 aux_ce=1.3960)
  Batch 130/508 | Loss: 1.3396 (bce=0.8642 aux_ce=1.1885)
  Batch 140/508 | Loss: 0.7518 (bce=0.4406 aux_ce=0.7782)
  Batch 150/508 | Loss: 0.7622 (bce=0.5114 aux_ce=0.6272)
  Batch 160/508 | Loss: 1.1530 (bce=0.8045 aux_ce=0.8712)
  Batch 170/508 | Loss: 1.3469 (bce=0.7928 aux_ce=1.3853)
  Batch 180/508 | Loss: 0.8569 (bce=0.4023 aux_ce=1.1365)
  Batch 190/508 | Loss: 0.4530 (bce=0.2639 aux_ce=0.4728)
  Batch 200/508 | Loss: 0.6077 (bce=0.4120 aux_ce=0.4894)
  Batch 210/508 | Loss: 0.8967 (bce=0.4409 aux_ce=1.1394)
  Batch 220/508 | Loss: 1.8561 (bce=1.3229 aux_ce=1.3329)
  Batch 230/508 | Loss: 1.1705 (bce=0.8353 aux_ce=0.8380)
  Batch 240/508 | Loss: 1.5452 (bce=1.0233 aux_ce=1.3048)
  Batch 250/508 | Loss: 0.5886 (bce=0.1563 aux_ce=1.0808)
  Batch 260/508 | Loss: 0.5375 (bce=0.2958 aux_ce=0.6042)
  Batch 270/508 | Loss: 0.4574 (bce=0.2080 aux_ce=0.6235)
  Batch 280/508 | Loss: 1.8436 (bce=1.1966 aux_ce=1.6177)
  Batch 290/508 | Loss: 2.3256 (bce=1.6982 aux_ce=1.5686)
  Batch 300/508 | Loss: 1.8014 (bce=1.2613 aux_ce=1.3503)
  Batch 310/508 | Loss: 1.1987 (bce=0.7734 aux_ce=1.0634)
  Batch 320/508 | Loss: 0.6189 (bce=0.2622 aux_ce=0.8916)
  Batch 330/508 | Loss: 0.4364 (bce=0.3019 aux_ce=0.3361)
  Batch 340/508 | Loss: 0.5124 (bce=0.1097 aux_ce=1.0068)
  Batch 350/508 | Loss: 0.3097 (bce=0.0707 aux_ce=0.5973)
  Batch 360/508 | Loss: 0.7159 (bce=0.4202 aux_ce=0.7391)
  Batch 370/508 | Loss: 0.4190 (bce=0.1992 aux_ce=0.5496)
  Batch 380/508 | Loss: 0.8968 (bce=0.5220 aux_ce=0.9370)
  Batch 390/508 | Loss: 0.4619 (bce=0.2096 aux_ce=0.6306)
  Batch 400/508 | Loss: 0.2502 (bce=0.0775 aux_ce=0.4318)
  Batch 410/508 | Loss: 0.4963 (bce=0.3289 aux_ce=0.4183)
  Batch 420/508 | Loss: 1.8348 (bce=1.1885 aux_ce=1.6157)
  Batch 430/508 | Loss: 0.6941 (bce=0.1991 aux_ce=1.2377)
  Batch 440/508 | Loss: 0.3000 (bce=0.1736 aux_ce=0.3160)
  Batch 450/508 | Loss: 0.2651 (bce=0.0686 aux_ce=0.4912)
  Batch 460/508 | Loss: 0.2929 (bce=0.1023 aux_ce=0.4763)
  Batch 470/508 | Loss: 0.5045 (bce=0.0447 aux_ce=1.1495)
  Batch 480/508 | Loss: 1.0398 (bce=0.8232 aux_ce=0.5415)
  Batch 490/508 | Loss: 1.3787 (bce=0.9636 aux_ce=1.0378)
  Batch 500/508 | Loss: 0.1776 (bce=0.0687 aux_ce=0.2721)
Epoch 1 | Train Loss: 0.9631 | Train Acc: 0.8086 | Val AUC: 0.9722
Saved checkpoint: models\stageA_checkpoint_epoch1.pth
  New best val AUC: 0.9722 - saved stageA_best_model.pth
  Batch 10/508 | Loss: 0.4807 (bce=0.0717 aux_ce=1.0223)
  Batch 20/508 | Loss: 0.4608 (bce=0.2217 aux_ce=0.5979)
  Batch 30/508 | Loss: 0.3418 (bce=0.0830 aux_ce=0.6469)
  Batch 40/508 | Loss: 0.8293 (bce=0.6809 aux_ce=0.3710)
  Batch 50/508 | Loss: 0.6207 (bce=0.2365 aux_ce=0.9603)
  Batch 60/508 | Loss: 0.4451 (bce=0.2286 aux_ce=0.5412)
  Batch 70/508 | Loss: 0.8863 (bce=0.4953 aux_ce=0.9774)
  Batch 80/508 | Loss: 1.2815 (bce=0.6798 aux_ce=1.5043)
  Batch 90/508 | Loss: 0.3146 (bce=0.1622 aux_ce=0.3809)
  Batch 100/508 | Loss: 0.3468 (bce=0.1152 aux_ce=0.5788)
  Batch 110/508 | Loss: 0.2537 (bce=0.0307 aux_ce=0.5575)
  Batch 120/508 | Loss: 0.3661 (bce=0.0971 aux_ce=0.6726)
  Batch 130/508 | Loss: 0.3576 (bce=0.1742 aux_ce=0.4586)
  Batch 140/508 | Loss: 0.7479 (bce=0.5154 aux_ce=0.5815)
  Batch 150/508 | Loss: 0.2983 (bce=0.1128 aux_ce=0.4638)
  Batch 160/508 | Loss: 0.7127 (bce=0.3272 aux_ce=0.9636)
  Batch 170/508 | Loss: 0.5073 (bce=0.3108 aux_ce=0.4912)
  Batch 180/508 | Loss: 0.2690 (bce=0.1643 aux_ce=0.2618)
  Batch 190/508 | Loss: 0.4841 (bce=0.2622 aux_ce=0.5547)
  Batch 200/508 | Loss: 0.3972 (bce=0.0376 aux_ce=0.8991)
  Batch 210/508 | Loss: 0.8288 (bce=0.4380 aux_ce=0.9771)
  Batch 220/508 | Loss: 0.7191 (bce=0.3797 aux_ce=0.8485)
  Batch 230/508 | Loss: 0.2619 (bce=0.2230 aux_ce=0.0971)
  Batch 240/508 | Loss: 0.6426 (bce=0.2849 aux_ce=0.8941)
  Batch 250/508 | Loss: 0.1802 (bce=0.0796 aux_ce=0.2513)
  Batch 260/508 | Loss: 1.4648 (bce=0.9912 aux_ce=1.1842)
  Batch 270/508 | Loss: 0.7253 (bce=0.5467 aux_ce=0.4464)
  Batch 280/508 | Loss: 1.0519 (bce=0.6034 aux_ce=1.1213)
  Batch 290/508 | Loss: 0.5320 (bce=0.4133 aux_ce=0.2966)
  Batch 300/508 | Loss: 0.1763 (bce=0.0528 aux_ce=0.3087)
  Batch 310/508 | Loss: 0.1314 (bce=0.0426 aux_ce=0.2219)
  Batch 320/508 | Loss: 0.2811 (bce=0.1140 aux_ce=0.4177)
  Batch 330/508 | Loss: 1.0633 (bce=0.6550 aux_ce=1.0207)
  Batch 340/508 | Loss: 0.3236 (bce=0.1523 aux_ce=0.4283)
  Batch 350/508 | Loss: 0.4483 (bce=0.1797 aux_ce=0.6713)
  Batch 360/508 | Loss: 0.7053 (bce=0.3955 aux_ce=0.7745)
  Batch 370/508 | Loss: 0.2123 (bce=0.0408 aux_ce=0.4286)
