Using device: cuda

[Data Distribution] Real: 2786  Fake: 8358  Total: 11144
[Val set] 10786 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 10/1393 | Loss: 1.5267 (bce=1.1060 aux_ce=1.0519)
  Batch 20/1393 | Loss: 1.5235 (bce=0.8804 aux_ce=1.6077)
  Batch 30/1393 | Loss: 1.3697 (bce=0.7897 aux_ce=1.4500)
  Batch 40/1393 | Loss: 1.4685 (bce=0.8981 aux_ce=1.4261)
  Batch 50/1393 | Loss: 1.7247 (bce=1.3348 aux_ce=0.9749)
  Batch 60/1393 | Loss: 1.0478 (bce=0.7613 aux_ce=0.7164)
  Batch 70/1393 | Loss: 1.6632 (bce=1.0941 aux_ce=1.4228)
  Batch 80/1393 | Loss: 1.0944 (bce=0.7504 aux_ce=0.8600)
  Batch 90/1393 | Loss: 1.4092 (bce=1.0192 aux_ce=0.9750)
  Batch 100/1393 | Loss: 1.2581 (bce=0.8434 aux_ce=1.0368)
  Batch 110/1393 | Loss: 1.2315 (bce=0.7444 aux_ce=1.2176)
  Batch 120/1393 | Loss: 1.5374 (bce=0.9545 aux_ce=1.4572)
  Batch 130/1393 | Loss: 0.8270 (bce=0.5945 aux_ce=0.5813)
  Batch 140/1393 | Loss: 0.5656 (bce=0.3113 aux_ce=0.6356)
  Batch 150/1393 | Loss: 1.5688 (bce=1.0744 aux_ce=1.2361)
  Batch 160/1393 | Loss: 1.4759 (bce=1.0672 aux_ce=1.0218)
  Batch 170/1393 | Loss: 1.6392 (bce=1.1188 aux_ce=1.3012)
  Batch 180/1393 | Loss: 0.5754 (bce=0.3202 aux_ce=0.6380)
  Batch 190/1393 | Loss: 0.8538 (bce=0.5184 aux_ce=0.8384)
  Batch 200/1393 | Loss: 1.6938 (bce=1.2171 aux_ce=1.1918)
  Batch 210/1393 | Loss: 0.6774 (bce=0.2554 aux_ce=1.0549)
  Batch 220/1393 | Loss: 0.9953 (bce=0.7103 aux_ce=0.7124)
  Batch 230/1393 | Loss: 0.8657 (bce=0.5687 aux_ce=0.7423)
  Batch 240/1393 | Loss: 0.9074 (bce=0.6892 aux_ce=0.5456)
  Batch 250/1393 | Loss: 0.3206 (bce=0.1871 aux_ce=0.3337)
  Batch 260/1393 | Loss: 0.7705 (bce=0.4750 aux_ce=0.7388)
  Batch 270/1393 | Loss: 0.6007 (bce=0.4311 aux_ce=0.4242)
  Batch 280/1393 | Loss: 0.4827 (bce=0.2479 aux_ce=0.5871)
  Batch 290/1393 | Loss: 1.4987 (bce=1.0110 aux_ce=1.2194)
  Batch 300/1393 | Loss: 1.0559 (bce=0.7306 aux_ce=0.8132)
  Batch 310/1393 | Loss: 0.9078 (bce=0.6544 aux_ce=0.6337)
  Batch 320/1393 | Loss: 2.1177 (bce=1.6057 aux_ce=1.2801)
  Batch 330/1393 | Loss: 0.9789 (bce=0.7215 aux_ce=0.6436)
  Batch 340/1393 | Loss: 0.3207 (bce=0.2089 aux_ce=0.2796)
  Batch 350/1393 | Loss: 0.6046 (bce=0.3514 aux_ce=0.6330)
  Batch 360/1393 | Loss: 0.3745 (bce=0.2361 aux_ce=0.3460)
  Batch 370/1393 | Loss: 0.3220 (bce=0.1872 aux_ce=0.3368)
  Batch 380/1393 | Loss: 0.7021 (bce=0.3485 aux_ce=0.8838)
  Batch 390/1393 | Loss: 0.7819 (bce=0.3601 aux_ce=1.0545)
  Batch 400/1393 | Loss: 0.9550 (bce=0.5080 aux_ce=1.1176)
  Batch 410/1393 | Loss: 0.5151 (bce=0.2984 aux_ce=0.5418)
  Batch 420/1393 | Loss: 0.5585 (bce=0.2343 aux_ce=0.8105)
  Batch 430/1393 | Loss: 0.6831 (bce=0.5486 aux_ce=0.3363)
  Batch 440/1393 | Loss: 1.0707 (bce=0.7617 aux_ce=0.7727)
  Batch 450/1393 | Loss: 0.3080 (bce=0.2304 aux_ce=0.1941)
  Batch 460/1393 | Loss: 0.3526 (bce=0.1630 aux_ce=0.4740)
  Batch 470/1393 | Loss: 0.4934 (bce=0.2598 aux_ce=0.5841)
  Batch 480/1393 | Loss: 0.5864 (bce=0.3768 aux_ce=0.5239)
  Batch 490/1393 | Loss: 0.8865 (bce=0.4923 aux_ce=0.9855)
  Batch 500/1393 | Loss: 0.4543 (bce=0.2982 aux_ce=0.3902)
  Batch 510/1393 | Loss: 0.8677 (bce=0.4778 aux_ce=0.9746)
  Batch 520/1393 | Loss: 0.6010 (bce=0.4912 aux_ce=0.2744)
  Batch 530/1393 | Loss: 0.4284 (bce=0.3005 aux_ce=0.3197)
  Batch 540/1393 | Loss: 0.8539 (bce=0.4760 aux_ce=0.9446)
  Batch 550/1393 | Loss: 0.4004 (bce=0.2848 aux_ce=0.2890)
  Batch 560/1393 | Loss: 0.5230 (bce=0.3047 aux_ce=0.5457)
  Batch 570/1393 | Loss: 0.8007 (bce=0.5728 aux_ce=0.5697)
  Batch 580/1393 | Loss: 0.7022 (bce=0.4503 aux_ce=0.6300)
  Batch 590/1393 | Loss: 0.3299 (bce=0.1654 aux_ce=0.4113)
  Batch 600/1393 | Loss: 0.1925 (bce=0.0744 aux_ce=0.2953)
  Batch 610/1393 | Loss: 1.7529 (bce=1.2229 aux_ce=1.3249)
  Batch 620/1393 | Loss: 0.7544 (bce=0.5528 aux_ce=0.5040)
  Batch 630/1393 | Loss: 0.6045 (bce=0.4747 aux_ce=0.3246)
  Batch 640/1393 | Loss: 1.1890 (bce=0.9291 aux_ce=0.6497)
  Batch 650/1393 | Loss: 0.6108 (bce=0.3202 aux_ce=0.7266)
  Batch 660/1393 | Loss: 0.8319 (bce=0.5085 aux_ce=0.8085)
  Batch 670/1393 | Loss: 0.8100 (bce=0.5433 aux_ce=0.6668)
  Batch 680/1393 | Loss: 0.5127 (bce=0.2947 aux_ce=0.5449)
  Batch 690/1393 | Loss: 0.9834 (bce=0.5486 aux_ce=1.0872)
  Batch 700/1393 | Loss: 1.9419 (bce=1.5841 aux_ce=0.8947)
  Batch 710/1393 | Loss: 0.8419 (bce=0.3388 aux_ce=1.2576)
  Batch 720/1393 | Loss: 0.8848 (bce=0.6750 aux_ce=0.5247)
  Batch 730/1393 | Loss: 1.3336 (bce=1.0000 aux_ce=0.8342)
  Batch 740/1393 | Loss: 0.7059 (bce=0.5163 aux_ce=0.4740)
  Batch 750/1393 | Loss: 0.3065 (bce=0.1119 aux_ce=0.4863)
  Batch 760/1393 | Loss: 0.4657 (bce=0.1774 aux_ce=0.7207)
  Batch 770/1393 | Loss: 0.4090 (bce=0.1405 aux_ce=0.6711)
  Batch 780/1393 | Loss: 0.5193 (bce=0.3908 aux_ce=0.3211)
  Batch 790/1393 | Loss: 0.4288 (bce=0.2832 aux_ce=0.3640)
  Batch 800/1393 | Loss: 0.4010 (bce=0.2634 aux_ce=0.3441)
  Batch 810/1393 | Loss: 1.4170 (bce=0.8971 aux_ce=1.2997)
  Batch 820/1393 | Loss: 0.3813 (bce=0.1043 aux_ce=0.6925)
  Batch 830/1393 | Loss: 0.6409 (bce=0.3174 aux_ce=0.8089)
  Batch 840/1393 | Loss: 0.5590 (bce=0.3292 aux_ce=0.5743)
  Batch 850/1393 | Loss: 0.1849 (bce=0.0951 aux_ce=0.2243)
  Batch 860/1393 | Loss: 0.2004 (bce=0.1062 aux_ce=0.2355)
  Batch 870/1393 | Loss: 1.0827 (bce=0.6513 aux_ce=1.0786)
  Batch 880/1393 | Loss: 0.8949 (bce=0.6569 aux_ce=0.5952)
  Batch 890/1393 | Loss: 0.4648 (bce=0.2347 aux_ce=0.5754)
  Batch 900/1393 | Loss: 0.7616 (bce=0.4287 aux_ce=0.8323)
  Batch 910/1393 | Loss: 0.5414 (bce=0.3556 aux_ce=0.4643)
  Batch 920/1393 | Loss: 1.2762 (bce=0.8495 aux_ce=1.0669)
  Batch 930/1393 | Loss: 0.7767 (bce=0.5024 aux_ce=0.6858)
  Batch 940/1393 | Loss: 0.3668 (bce=0.2683 aux_ce=0.2463)
  Batch 950/1393 | Loss: 1.6767 (bce=1.2716 aux_ce=1.0126)
  Batch 960/1393 | Loss: 0.5886 (bce=0.4110 aux_ce=0.4440)
  Batch 970/1393 | Loss: 0.9021 (bce=0.6150 aux_ce=0.7176)
  Batch 980/1393 | Loss: 0.8907 (bce=0.6616 aux_ce=0.5726)
  Batch 990/1393 | Loss: 0.7144 (bce=0.3692 aux_ce=0.8632)
  Batch 1000/1393 | Loss: 1.1270 (bce=0.8219 aux_ce=0.7627)
  Batch 1010/1393 | Loss: 1.1476 (bce=0.6949 aux_ce=1.1316)
  Batch 1020/1393 | Loss: 0.4574 (bce=0.2165 aux_ce=0.6022)
  Batch 1030/1393 | Loss: 0.3235 (bce=0.0623 aux_ce=0.6531)
  Batch 1040/1393 | Loss: 0.7588 (bce=0.5754 aux_ce=0.4586)
  Batch 1050/1393 | Loss: 0.7266 (bce=0.3118 aux_ce=1.0371)
  Batch 1060/1393 | Loss: 0.6772 (bce=0.4149 aux_ce=0.6556)
  Batch 1070/1393 | Loss: 0.4140 (bce=0.3164 aux_ce=0.2442)
  Batch 1080/1393 | Loss: 0.3834 (bce=0.1825 aux_ce=0.5024)
  Batch 1090/1393 | Loss: 1.2462 (bce=0.9498 aux_ce=0.7411)
  Batch 1100/1393 | Loss: 0.8573 (bce=0.6668 aux_ce=0.4761)
