Using device: cuda

[Data Distribution] Real: 2558  Fake: 7674  Total: 10232
[Val set] 6094 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 10/1279 | Loss: 1.8443 (bce=1.1561 aux_ce=1.7203)
  Batch 20/1279 | Loss: 1.5800 (bce=0.8975 aux_ce=1.7061)
  Batch 30/1279 | Loss: 1.6145 (bce=1.0583 aux_ce=1.3904)
  Batch 40/1279 | Loss: 1.9375 (bce=1.1326 aux_ce=2.0123)
  Batch 50/1279 | Loss: 1.1020 (bce=0.8503 aux_ce=0.6293)
  Batch 60/1279 | Loss: 1.1671 (bce=0.7165 aux_ce=1.1264)
  Batch 70/1279 | Loss: 1.3018 (bce=1.0626 aux_ce=0.5979)
  Batch 80/1279 | Loss: 1.3320 (bce=0.9592 aux_ce=0.9318)
  Batch 90/1279 | Loss: 1.2662 (bce=0.7355 aux_ce=1.3268)
  Batch 100/1279 | Loss: 1.0371 (bce=0.7227 aux_ce=0.7858)
  Batch 110/1279 | Loss: 1.1268 (bce=0.6688 aux_ce=1.1451)
  Batch 120/1279 | Loss: 1.5537 (bce=1.0447 aux_ce=1.2723)
  Batch 130/1279 | Loss: 1.6170 (bce=1.3118 aux_ce=0.7632)
  Batch 140/1279 | Loss: 0.7057 (bce=0.3756 aux_ce=0.8251)
  Batch 150/1279 | Loss: 1.2697 (bce=0.8575 aux_ce=1.0307)
  Batch 160/1279 | Loss: 1.0621 (bce=0.7250 aux_ce=0.8429)
  Batch 170/1279 | Loss: 1.8184 (bce=1.4331 aux_ce=0.9630)
  Batch 180/1279 | Loss: 1.2491 (bce=0.8403 aux_ce=1.0220)
  Batch 190/1279 | Loss: 1.1726 (bce=0.9333 aux_ce=0.5981)
  Batch 200/1279 | Loss: 1.6241 (bce=1.1522 aux_ce=1.1797)
  Batch 210/1279 | Loss: 0.4823 (bce=0.3042 aux_ce=0.4452)
