Using device: cuda
Loading DINOv2 ViT-S/14 with LoRA on last 4 blocks...
Using cache found in C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\swiglu_ffn.py:51: UserWarning: xFormers is not available (SwiGLU)
  warnings.warn("xFormers is not available (SwiGLU)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\attention.py:33: UserWarning: xFormers is not available (Attention)
  warnings.warn("xFormers is not available (Attention)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\block.py:40: UserWarning: xFormers is not available (Block)
  warnings.warn("xFormers is not available (Block)")
trainable params: 196,608 || all params: 22,253,184 || trainable%: 0.8835
Loading Whisper-tiny encoder with LoRA on last block...
trainable params: 55,296 || all params: 7,687,680 || trainable%: 0.7193
Loading Stage A weights from models\stageA_best_model.pth

[Data Distribution] Real: 2558  Fake: 7674  Total: 10232
[Val set] 6100 videos

[DataLoader] physical_batch=2 grad_accum=8 (effective batch=16) num_workers=4
Starting Stage B Training (LoRA fine-tune, raw crops/audio)...
  Batch 40/5116 | Loss: 1.5806
  Batch 80/5116 | Loss: 0.0004
  Batch 120/5116 | Loss: 0.0284
  Batch 160/5116 | Loss: 0.0159
  Batch 200/5116 | Loss: 0.0067
  Batch 240/5116 | Loss: 0.0546
  Batch 280/5116 | Loss: 0.0181
  Batch 320/5116 | Loss: 0.0633
  Batch 360/5116 | Loss: 0.0583
  Batch 400/5116 | Loss: 0.1743
  Batch 440/5116 | Loss: 0.1134
  Batch 480/5116 | Loss: 0.1181
  Batch 520/5116 | Loss: 0.0025
  Batch 560/5116 | Loss: 1.4008
  Batch 600/5116 | Loss: 2.4206
  Batch 640/5116 | Loss: 0.1161
  Batch 680/5116 | Loss: 0.0671
  Batch 720/5116 | Loss: 0.0120
  Batch 760/5116 | Loss: 0.0088
  Batch 800/5116 | Loss: 2.5363
  Batch 840/5116 | Loss: 0.1834
  Batch 880/5116 | Loss: 0.3388
  Batch 920/5116 | Loss: 0.0661
  Batch 960/5116 | Loss: 0.0187
  Batch 1000/5116 | Loss: 0.1656
  Batch 1040/5116 | Loss: 0.1460
  Batch 1080/5116 | Loss: 0.0069
  Batch 1120/5116 | Loss: 1.1208
  Batch 1160/5116 | Loss: 0.0862
  Batch 1200/5116 | Loss: 0.0297
  Batch 1240/5116 | Loss: 0.0055
  Batch 1280/5116 | Loss: 0.1036
  Batch 1320/5116 | Loss: 0.0120
  Batch 1360/5116 | Loss: 0.0189
  Batch 1400/5116 | Loss: 0.0126
  Batch 1440/5116 | Loss: 0.0644
  Batch 1480/5116 | Loss: 0.0329
  Batch 1520/5116 | Loss: 0.0596
  Batch 1560/5116 | Loss: 0.0039
  Batch 1600/5116 | Loss: 0.0960
  Batch 1640/5116 | Loss: 0.0194
  Batch 1680/5116 | Loss: 0.0304
  Batch 1720/5116 | Loss: 0.0042
  Batch 1760/5116 | Loss: 0.0033
  Batch 1800/5116 | Loss: 0.0706
  Batch 1840/5116 | Loss: 0.8675
  Batch 1880/5116 | Loss: 0.0475
  Batch 1920/5116 | Loss: 0.0186
  Batch 1960/5116 | Loss: 0.0494
  Batch 2000/5116 | Loss: 0.0062
  Batch 2040/5116 | Loss: 0.2054
  Batch 2080/5116 | Loss: 0.1207
  Batch 2120/5116 | Loss: 0.0041
  Batch 2160/5116 | Loss: 0.1295
  Batch 2200/5116 | Loss: 0.2389
  Batch 2240/5116 | Loss: 0.0092
  Batch 2280/5116 | Loss: 0.0298
  Batch 2320/5116 | Loss: 0.4213
  Batch 2360/5116 | Loss: 0.0662
  Batch 2400/5116 | Loss: 0.0085
  Batch 2440/5116 | Loss: 0.1082
  Batch 2480/5116 | Loss: 0.0349
  Batch 2520/5116 | Loss: 0.0095
  Batch 2560/5116 | Loss: 0.0175
  Batch 2600/5116 | Loss: 0.1065
  Batch 2640/5116 | Loss: 0.0345
  Batch 2680/5116 | Loss: 0.0036
  Batch 2720/5116 | Loss: 0.0136
  Batch 2760/5116 | Loss: 0.0053
  Batch 2800/5116 | Loss: 7.0075
  Batch 2840/5116 | Loss: 0.0092
  Batch 2880/5116 | Loss: 0.0181
  Batch 2920/5116 | Loss: 0.0155
  Batch 2960/5116 | Loss: 0.0235
  Batch 3000/5116 | Loss: 0.4013
  Batch 3040/5116 | Loss: 0.1109
  Batch 3080/5116 | Loss: 1.5518
  Batch 3120/5116 | Loss: 0.0039
  Batch 3160/5116 | Loss: 0.0496
  Batch 3200/5116 | Loss: 1.8231
  Batch 3240/5116 | Loss: 0.4893
  Batch 3280/5116 | Loss: 0.1489
  Batch 3320/5116 | Loss: 0.0023
  Batch 3360/5116 | Loss: 1.3472
  Batch 3400/5116 | Loss: 0.0055
  Batch 3440/5116 | Loss: 0.0693
  Batch 3480/5116 | Loss: 0.5254
  Batch 3520/5116 | Loss: 0.0108
  Batch 3560/5116 | Loss: 1.3688
  Batch 3600/5116 | Loss: 0.0933
  Batch 3640/5116 | Loss: 0.4155
  Batch 3680/5116 | Loss: 0.0105
  Batch 3720/5116 | Loss: 0.6328
  Batch 3760/5116 | Loss: 0.0178
  Batch 3800/5116 | Loss: 0.0108
  Batch 3840/5116 | Loss: 0.0071
  Batch 3880/5116 | Loss: 0.0134
  Batch 3920/5116 | Loss: 0.0084
  Batch 3960/5116 | Loss: 0.0088
  Batch 4000/5116 | Loss: 0.0015
  Batch 4040/5116 | Loss: 0.1672
  Batch 4080/5116 | Loss: 0.0029
  Batch 4120/5116 | Loss: 0.4423
  Batch 4160/5116 | Loss: 0.0462
  Batch 4200/5116 | Loss: 0.3145
  Batch 4240/5116 | Loss: 1.9704
  Batch 4280/5116 | Loss: 0.0208
  Batch 4320/5116 | Loss: 0.0986
  Batch 4360/5116 | Loss: 0.0049
  Batch 4400/5116 | Loss: 0.0016
  Batch 4440/5116 | Loss: 0.0363
  Batch 4480/5116 | Loss: 0.2790
  Batch 4520/5116 | Loss: 0.0235
  Batch 4560/5116 | Loss: 0.0100
  Batch 4600/5116 | Loss: 0.2304
  Batch 4640/5116 | Loss: 0.0192
  Batch 4680/5116 | Loss: 0.0184
  Batch 4720/5116 | Loss: 0.0167
  Batch 4760/5116 | Loss: 0.0355
  Batch 4800/5116 | Loss: 0.1129
  Batch 4840/5116 | Loss: 0.0015
  Batch 4880/5116 | Loss: 0.1488
  Batch 4920/5116 | Loss: 0.0052
  Batch 4960/5116 | Loss: 0.0233
  Batch 5000/5116 | Loss: 0.0082
  Batch 5040/5116 | Loss: 0.0712
  Batch 5080/5116 | Loss: 0.1262
Epoch 1 | Train Loss: 0.2819 | Train Acc: 0.9525 | Val AUC: 0.9931
Saved checkpoint: models\stageB_checkpoint_epoch1.pth
  New best val AUC: 0.9931 - saved stageB_best_* artifacts
  Batch 40/5116 | Loss: 0.0030
  Batch 80/5116 | Loss: 0.0935
  Batch 120/5116 | Loss: 0.1410
  Batch 160/5116 | Loss: 0.0224
  Batch 200/5116 | Loss: 0.0932
  Batch 240/5116 | Loss: 0.0508
  Batch 280/5116 | Loss: 0.2464
  Batch 320/5116 | Loss: 1.2818
  Batch 360/5116 | Loss: 0.0056
  Batch 400/5116 | Loss: 0.0026
  Batch 440/5116 | Loss: 0.0026
  Batch 480/5116 | Loss: 0.0207
