Using cache found in C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\swiglu_ffn.py:51: UserWarning: xFormers is not available (SwiGLU)
  warnings.warn("xFormers is not available (SwiGLU)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\attention.py:33: UserWarning: xFormers is not available (Attention)
  warnings.warn("xFormers is not available (Attention)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\block.py:40: UserWarning: xFormers is not available (Block)
  warnings.warn("xFormers is not available (Block)")
Using device: cuda
Loading DINOv2 ViT-S/14 with LoRA on last 4 blocks...
trainable params: 196,608 || all params: 22,253,184 || trainable%: 0.8835
Loading Whisper-tiny encoder with LoRA on last block...
trainable params: 55,296 || all params: 7,687,680 || trainable%: 0.7193
Loading Stage A weights from models\stageA_best_model.pth

[Data Distribution] Real: 2558  Fake: 10232 (of which SBI: 2558)  Total: 12790
[SBI Augmentation] ENABLED
[Val set] 6100 videos

[DataLoader] physical_batch=2 grad_accum=8 (effective batch=16) num_workers=4
Starting Stage B Training (LoRA fine-tune, raw crops/audio)...
  Batch 40/6395 | Loss: 0.9089
  Batch 80/6395 | Loss: 0.4137
  Batch 120/6395 | Loss: 0.1431
  Batch 160/6395 | Loss: 0.7745
  Batch 200/6395 | Loss: 3.2342
  Batch 240/6395 | Loss: 0.0843
  Batch 280/6395 | Loss: 1.9771
  Batch 320/6395 | Loss: 0.5835
  Batch 360/6395 | Loss: 0.9100
  Batch 400/6395 | Loss: 0.7230
  Batch 440/6395 | Loss: 0.0540
  Batch 480/6395 | Loss: 1.0393
  Batch 520/6395 | Loss: 0.4930
  Batch 560/6395 | Loss: 0.2231
  Batch 600/6395 | Loss: 1.9556
  Batch 640/6395 | Loss: 1.9111
  Batch 680/6395 | Loss: 0.2336
  Batch 720/6395 | Loss: 0.2323
  Batch 760/6395 | Loss: 0.1312
  Batch 800/6395 | Loss: 0.0797
  Batch 840/6395 | Loss: 0.2388
  Batch 880/6395 | Loss: 0.0169
  Batch 920/6395 | Loss: 1.3345
  Batch 960/6395 | Loss: 0.4207
  Batch 1000/6395 | Loss: 0.3015
  Batch 1040/6395 | Loss: 0.1690
  Batch 1080/6395 | Loss: 0.6664
  Batch 1120/6395 | Loss: 0.0136
  Batch 1160/6395 | Loss: 0.0174
  Batch 1200/6395 | Loss: 0.8062
  Batch 1240/6395 | Loss: 0.2599
  Batch 1280/6395 | Loss: 0.0022
  Batch 1320/6395 | Loss: 0.0208
  Batch 1360/6395 | Loss: 0.1631
  Batch 1400/6395 | Loss: 0.6508
  Batch 1440/6395 | Loss: 0.0069
  Batch 1480/6395 | Loss: 0.4432
  Batch 1520/6395 | Loss: 0.1636
  Batch 1560/6395 | Loss: 0.1465
  Batch 1600/6395 | Loss: 0.4110
  Batch 1640/6395 | Loss: 0.1799
  Batch 1680/6395 | Loss: 0.0950
  Batch 1720/6395 | Loss: 0.0485
  Batch 1760/6395 | Loss: 0.0093
  Batch 1800/6395 | Loss: 0.0759
  Batch 1840/6395 | Loss: 0.6834
  Batch 1880/6395 | Loss: 0.0192
  Batch 1920/6395 | Loss: 1.5726
  Batch 1960/6395 | Loss: 0.6231
  Batch 2000/6395 | Loss: 0.1540
  Batch 2040/6395 | Loss: 0.7123
  Batch 2080/6395 | Loss: 0.3799
  Batch 2120/6395 | Loss: 0.0507
  Batch 2160/6395 | Loss: 0.2847
  Batch 2200/6395 | Loss: 0.0190
  Batch 2240/6395 | Loss: 0.0493
  Batch 2280/6395 | Loss: 0.0512
  Batch 2320/6395 | Loss: 0.0417
  Batch 2360/6395 | Loss: 0.0776
  Batch 2400/6395 | Loss: 0.0039
  Batch 2440/6395 | Loss: 1.1456
  Batch 2480/6395 | Loss: 0.0269
  Batch 2520/6395 | Loss: 0.0192
  Batch 2560/6395 | Loss: 0.0103
  Batch 2600/6395 | Loss: 0.0116
  Batch 2640/6395 | Loss: 0.5021
  Batch 2680/6395 | Loss: 0.0498
  Batch 2720/6395 | Loss: 0.2422
  Batch 2760/6395 | Loss: 0.1044
  Batch 2800/6395 | Loss: 0.3681
  Batch 2840/6395 | Loss: 0.0280
  Batch 2880/6395 | Loss: 0.2288
  Batch 2920/6395 | Loss: 0.9575
  Batch 2960/6395 | Loss: 0.0065
  Batch 3000/6395 | Loss: 0.3424
  Batch 3040/6395 | Loss: 0.0094
  Batch 3080/6395 | Loss: 0.0205
  Batch 3120/6395 | Loss: 2.3750
  Batch 3160/6395 | Loss: 0.0203
  Batch 3200/6395 | Loss: 0.0034
  Batch 3240/6395 | Loss: 1.0603
  Batch 3280/6395 | Loss: 4.9336
  Batch 3320/6395 | Loss: 0.0228
  Batch 3360/6395 | Loss: 0.3129
  Batch 3400/6395 | Loss: 0.1674
  Batch 3440/6395 | Loss: 0.3756
  Batch 3480/6395 | Loss: 0.4026
  Batch 3520/6395 | Loss: 0.1082
  Batch 3560/6395 | Loss: 0.1062
  Batch 3600/6395 | Loss: 0.2195
  Batch 3640/6395 | Loss: 0.0313
  Batch 3680/6395 | Loss: 0.1787
  Batch 3720/6395 | Loss: 0.0063
  Batch 3760/6395 | Loss: 0.0173
  Batch 3800/6395 | Loss: 0.1236
  Batch 3840/6395 | Loss: 0.0130
  Batch 3880/6395 | Loss: 0.0420
  Batch 3920/6395 | Loss: 0.0285
  Batch 3960/6395 | Loss: 1.6909
  Batch 4000/6395 | Loss: 0.0807
  Batch 4040/6395 | Loss: 0.4417
  Batch 4080/6395 | Loss: 0.0859
  Batch 4120/6395 | Loss: 0.0302
  Batch 4160/6395 | Loss: 0.6261
  Batch 4200/6395 | Loss: 0.0329
  Batch 4240/6395 | Loss: 0.0118
  Batch 4280/6395 | Loss: 0.0292
  Batch 4320/6395 | Loss: 0.0176
  Batch 4360/6395 | Loss: 0.0105
  Batch 4400/6395 | Loss: 0.2181
  Batch 4440/6395 | Loss: 0.0250
  Batch 4480/6395 | Loss: 0.0163
  Batch 4520/6395 | Loss: 0.0149
  Batch 4560/6395 | Loss: 0.0485
  Batch 4600/6395 | Loss: 0.0627
  Batch 4640/6395 | Loss: 0.4846
  Batch 4680/6395 | Loss: 0.0228
  Batch 4720/6395 | Loss: 0.0117
  Batch 4760/6395 | Loss: 0.1852
  Batch 4800/6395 | Loss: 0.2005
  Batch 4840/6395 | Loss: 0.0511
  Batch 4880/6395 | Loss: 0.0316
  Batch 4920/6395 | Loss: 0.0051
  Batch 4960/6395 | Loss: 0.0058
  Batch 5000/6395 | Loss: 9.8891
  Batch 5040/6395 | Loss: 0.0158
  Batch 5080/6395 | Loss: 0.0372
  Batch 5120/6395 | Loss: 0.1230
  Batch 5160/6395 | Loss: 0.3232
  Batch 5200/6395 | Loss: 0.0909
