Using device: cuda
Loading DINOv2 ViT-S/14 with LoRA on last 4 blocks...
Using cache found in C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\swiglu_ffn.py:51: UserWarning: xFormers is not available (SwiGLU)
  warnings.warn("xFormers is not available (SwiGLU)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\attention.py:33: UserWarning: xFormers is not available (Attention)
  warnings.warn("xFormers is not available (Attention)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\block.py:40: UserWarning: xFormers is not available (Block)
  warnings.warn("xFormers is not available (Block)")
trainable params: 196,608 || all params: 22,253,184 || trainable%: 0.8835
Loading Whisper-tiny encoder with LoRA on last block...
trainable params: 55,296 || all params: 7,687,680 || trainable%: 0.7193
Loading Stage A weights from models\stageA_best_model.pth

[Data Distribution] Real: 2558  Fake: 7674  Total: 10232
[Val set] 6100 videos

[DataLoader] physical_batch=2 grad_accum=8 (effective batch=16) num_workers=4
Resuming from completed checkpoint: models\stageB_checkpoint_epoch2.pth (epoch 2)
Resuming from in-progress checkpoint at epoch 3 (batch 5100)
Starting Stage B Training (LoRA fine-tune, raw crops/audio)...
  Batch 40/5116 | Loss: 0.1200
  Batch 80/5116 | Loss: 0.0033
  Batch 120/5116 | Loss: 0.0008
  Batch 160/5116 | Loss: 0.0047
  Batch 200/5116 | Loss: 0.1769
  Batch 240/5116 | Loss: 0.0090
  Batch 280/5116 | Loss: 0.0027
  Batch 320/5116 | Loss: 0.0074
  Batch 360/5116 | Loss: 0.0034
  Batch 400/5116 | Loss: 0.0088
  Batch 440/5116 | Loss: 0.0107
  Batch 480/5116 | Loss: 0.0021
  Batch 520/5116 | Loss: 0.0083
  Batch 560/5116 | Loss: 0.0078
  Batch 600/5116 | Loss: 0.0012
  Batch 640/5116 | Loss: 0.0028
  Batch 680/5116 | Loss: 0.0123
  Batch 720/5116 | Loss: 0.0001
  Batch 760/5116 | Loss: 0.0009
  Batch 800/5116 | Loss: 0.0001
  Batch 840/5116 | Loss: 0.1293
  Batch 880/5116 | Loss: 0.0003
  Batch 920/5116 | Loss: 0.7205
  Batch 960/5116 | Loss: 0.0203
  Batch 1000/5116 | Loss: 0.0013
  Batch 1040/5116 | Loss: 0.5444
  Batch 1080/5116 | Loss: 0.0021
  Batch 1120/5116 | Loss: 0.0005
  Batch 1160/5116 | Loss: 0.0031
  Batch 1200/5116 | Loss: 0.0013
  Batch 1240/5116 | Loss: 0.0709
  Batch 1280/5116 | Loss: 0.0088
  Batch 1320/5116 | Loss: 0.0041
  Batch 1360/5116 | Loss: 0.0158
  Batch 1400/5116 | Loss: 0.0128
  Batch 1440/5116 | Loss: 0.0020
  Batch 1480/5116 | Loss: 0.0006
  Batch 1520/5116 | Loss: 0.0394
  Batch 1560/5116 | Loss: 0.0005
  Batch 1600/5116 | Loss: 0.0006
  Batch 1640/5116 | Loss: 0.0016
  Batch 1680/5116 | Loss: 0.0030
  Batch 1720/5116 | Loss: 0.0088
  Batch 1760/5116 | Loss: 0.0443
  Batch 1800/5116 | Loss: 0.0341
  Batch 1840/5116 | Loss: 0.1708
  Batch 1880/5116 | Loss: 0.0502
  Batch 1920/5116 | Loss: 0.0567
  Batch 1960/5116 | Loss: 0.0030
  Batch 2000/5116 | Loss: 0.0028
  Batch 2040/5116 | Loss: 0.0007
  Batch 2080/5116 | Loss: 0.2349
  Batch 2120/5116 | Loss: 0.0085
  Batch 2160/5116 | Loss: 0.0054
  Batch 2200/5116 | Loss: 0.0113
  Batch 2240/5116 | Loss: 0.0048
