Using cache found in C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\swiglu_ffn.py:51: UserWarning: xFormers is not available (SwiGLU)
  warnings.warn("xFormers is not available (SwiGLU)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\attention.py:33: UserWarning: xFormers is not available (Attention)
  warnings.warn("xFormers is not available (Attention)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\block.py:40: UserWarning: xFormers is not available (Block)
  warnings.warn("xFormers is not available (Block)")
Using device: cuda
Loading DINOv2 ViT-S/14 with LoRA on last 4 blocks...
trainable params: 196,608 || all params: 22,253,184 || trainable%: 0.8835
Loading Whisper-tiny encoder with LoRA on last block...
trainable params: 55,296 || all params: 7,687,680 || trainable%: 0.7193
Loading Stage A weights from models\stageA_best_model.pth

[Data Distribution] Real: 2558  Fake: 7674 (of which SBI: 0)  Total: 10232
[SBI Augmentation] disabled
[Val set] 6100 videos

[DataLoader] physical_batch=2 grad_accum=8 (effective batch=16) num_workers=4
Starting Stage B Training (LoRA fine-tune, raw crops/audio)...
  Batch 40/5116 | Loss: 0.0284
  Batch 80/5116 | Loss: 0.0099
  Batch 120/5116 | Loss: 0.1697
  Batch 160/5116 | Loss: 0.0067
  Batch 200/5116 | Loss: 0.0478
  Batch 240/5116 | Loss: 0.0172
  Batch 280/5116 | Loss: 1.9565
  Batch 320/5116 | Loss: 0.0036
  Batch 360/5116 | Loss: 0.0130
  Batch 400/5116 | Loss: 0.0507
  Batch 440/5116 | Loss: 0.1024
  Batch 480/5116 | Loss: 0.0336
  Batch 520/5116 | Loss: 0.6408
  Batch 560/5116 | Loss: 0.0277
  Batch 600/5116 | Loss: 1.7704
  Batch 640/5116 | Loss: 0.0164
  Batch 680/5116 | Loss: 0.8109
  Batch 720/5116 | Loss: 0.0271
  Batch 760/5116 | Loss: 0.0076
  Batch 800/5116 | Loss: 0.0971
  Batch 840/5116 | Loss: 0.0038
  Batch 880/5116 | Loss: 3.2958
  Batch 920/5116 | Loss: 0.0264
  Batch 960/5116 | Loss: 1.5175
  Batch 1000/5116 | Loss: 0.2594
  Batch 1040/5116 | Loss: 0.1195
  Batch 1080/5116 | Loss: 0.0538
  Batch 1120/5116 | Loss: 0.0685
  Batch 1160/5116 | Loss: 0.4859
  Batch 1200/5116 | Loss: 0.0209
  Batch 1240/5116 | Loss: 0.0779
  Batch 1280/5116 | Loss: 0.3732
  Batch 1320/5116 | Loss: 0.4873
  Batch 1360/5116 | Loss: 0.0779
  Batch 1400/5116 | Loss: 1.0836
  Batch 1440/5116 | Loss: 0.2978
  Batch 1480/5116 | Loss: 0.2049
  Batch 1520/5116 | Loss: 0.0296
  Batch 1560/5116 | Loss: 0.0761
  Batch 1600/5116 | Loss: 0.0902
  Batch 1640/5116 | Loss: 0.0177
  Batch 1680/5116 | Loss: 0.5765
  Batch 1720/5116 | Loss: 0.0163
  Batch 1760/5116 | Loss: 0.0051
  Batch 1800/5116 | Loss: 0.1234
  Batch 1840/5116 | Loss: 0.0207
  Batch 1880/5116 | Loss: 0.0286
  Batch 1920/5116 | Loss: 0.0067
  Batch 1960/5116 | Loss: 0.1007
  Batch 2000/5116 | Loss: 0.0570
  Batch 2040/5116 | Loss: 0.2906
  Batch 2080/5116 | Loss: 0.1078
  Batch 2120/5116 | Loss: 0.0410
  Batch 2160/5116 | Loss: 0.0337
  Batch 2200/5116 | Loss: 0.0191
  Batch 2240/5116 | Loss: 1.8559
  Batch 2280/5116 | Loss: 0.1056
  Batch 2320/5116 | Loss: 0.0178
