video_path,label,original_type,race,gender,source,manipulation_type
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00076/00109.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00366/00118.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00475/00099.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00476/00109.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00478/00206.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00518/00031.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00781/00092.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00830/00143.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00944/00135.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00987/00160.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01036/00010.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01170/00021.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01171/00053.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01392/00167.mp4::sbi,fake,RealVideo-RealAudio,African,men,SBI,unknown_fake
