Path, TrueLabel, PredLabel, Prob, Confidence
data\processed\features\test\real\00001_2c0a32fd2d\frame_03.jpg, Real, Fake, 0.9842, 0.9842
data\processed\features\test\real\00005_4752a71833\frame_03.jpg, Real, Fake, 0.9960, 0.9960
data\processed\features\test\real\00005_658c93044a\frame_03.jpg, Real, Fake, 0.8607, 0.8607
data\processed\features\test\real\00005_d1c54f5099\frame_03.jpg, Real, Fake, 0.6612, 0.6612
data\processed\features\test\real\00005_e054183e23\frame_03.jpg, Real, Fake, 0.8680, 0.8680
data\processed\features\test\real\00006_590ebb3504\frame_03.jpg, Real, Fake, 0.9961, 0.9961
data\processed\features\test\real\00010_912eaa4b7d\frame_03.jpg, Real, Fake, 0.9434, 0.9434
data\processed\features\test\real\00013_9a098a1268\frame_03.jpg, Real, Fake, 0.6250, 0.6250
data\processed\features\test\real\00015_4290068c28\frame_03.jpg, Real, Fake, 0.9362, 0.9362
data\processed\features\test\real\00019_6b945faaf2\frame_03.jpg, Real, Fake, 0.9876, 0.9876
data\processed\features\test\real\00021_4217f4e31e\frame_03.jpg, Real, Fake, 0.6325, 0.6325
data\processed\features\test\real\00021_a7fe035f8a\frame_03.jpg, Real, Fake, 0.8935, 0.8935
data\processed\features\test\real\00025_61877a16dd\frame_03.jpg, Real, Fake, 0.9907, 0.9907
data\processed\features\test\real\00028_61e9902539\frame_03.jpg, Real, Fake, 0.9367, 0.9367
data\processed\features\test\real\00028_bb955190d9\frame_03.jpg, Real, Fake, 0.7668, 0.7668
data\processed\features\test\real\00031_bd4e758f81\frame_03.jpg, Real, Fake, 0.7612, 0.7612
data\processed\features\test\real\00043_5bc307e49e\frame_03.jpg, Real, Fake, 0.9975, 0.9975
data\processed\features\test\real\00052_21f8e43459\frame_03.jpg, Real, Fake, 0.8622, 0.8622
data\processed\features\test\real\00052_44b356f211\frame_03.jpg, Real, Fake, 0.7363, 0.7363
data\processed\features\test\real\00063_5194bb19b8\frame_03.jpg, Real, Fake, 0.6604, 0.6604
data\processed\features\test\real\00069_ae0fd4a7ed\frame_03.jpg, Real, Fake, 0.6025, 0.6025
data\processed\features\test\real\00078_a6df9d5012\frame_03.jpg, Real, Fake, 0.9298, 0.9298
data\processed\features\test\real\00083_4c29cea162\frame_03.jpg, Real, Fake, 0.8784, 0.8784
data\processed\features\test\real\00086_9743b578ff\frame_03.jpg, Real, Fake, 0.8476, 0.8476
data\processed\features\test\real\00092_a1fd5a36e3\frame_03.jpg, Real, Fake, 0.9002, 0.9002
data\processed\features\test\real\00135_d2504b3536\frame_03.jpg, Real, Fake, 0.9636, 0.9636
data\processed\features\test\real\00143_0118c2e40f\frame_03.jpg, Real, Fake, 0.9333, 0.9333
data\processed\features\test\real\00183_9da3214772\frame_03.jpg, Real, Fake, 0.8825, 0.8825
data\processed\features\test\real\00191_efe2cbf8d8\frame_03.jpg, Real, Fake, 0.9363, 0.9363
data\processed\features\test\real\00206_32f84c784a\frame_03.jpg, Real, Fake, 0.9892, 0.9892
data\processed\features\test\real\00206_5e0a3f50e7\frame_03.jpg, Real, Fake, 0.8203, 0.8203
data\processed\features\test\real\00231_48160d9867\frame_03.jpg, Real, Fake, 0.6389, 0.6389
data\processed\features\test\real\00236_44a9e14bfd\frame_03.jpg, Real, Fake, 0.9740, 0.9740
data\processed\features\test\real\00257_803df769a9\frame_03.jpg, Real, Fake, 0.6336, 0.6336
data\processed\features\test\real\00307_7e0c1cc253\frame_03.jpg, Real, Fake, 0.9914, 0.9914
data\processed\features\test\real\1_e28ed471be\frame_03.jpg, Real, Fake, 0.9962, 0.9962
data\processed\features\test\real\ar_29_a550b7e875\frame_03.jpg, Real, Fake, 0.9935, 0.9935
data\processed\features\test\real\ar_65_5ca415787a\frame_03.jpg, Real, Fake, 0.5436, 0.5436
data\processed\features\test\real\ar_66_7284287520\frame_03.jpg, Real, Fake, 0.8289, 0.8289
data\processed\features\test\real\en_121_0276bba0a5\frame_03.jpg, Real, Fake, 0.9981, 0.9981
data\processed\features\test\real\en_63_eba8d32495\frame_03.jpg, Real, Fake, 0.5560, 0.5560
data\processed\features\test\real\en_67_9674a0fa3e\frame_03.jpg, Real, Fake, 0.9939, 0.9939
data\processed\features\test\real\en_68_2bcb75043c\frame_03.jpg, Real, Fake, 0.9940, 0.9940
data\processed\features\test\real\en_84_69de8b2707\frame_03.jpg, Real, Fake, 0.5081, 0.5081
data\processed\features\test\real\en_88_860a48e566\frame_03.jpg, Real, Fake, 0.9472, 0.9472
data\processed\features\test\real\en_94_af5aeef7c4\frame_03.jpg, Real, Fake, 0.5407, 0.5407
data\processed\features\test\real\es_33_67afe71c29\frame_03.jpg, Real, Fake, 0.9944, 0.9944
data\processed\features\test\real\es_35_c6e22fbab5\frame_03.jpg, Real, Fake, 0.5543, 0.5543
data\processed\features\test\real\es_36_2c21285828\frame_03.jpg, Real, Fake, 0.5947, 0.5947
data\processed\features\test\real\es_72_a8eb2c867b\frame_03.jpg, Real, Fake, 0.5228, 0.5228
data\processed\features\test\real\ja_14_a9872b370a\frame_03.jpg, Real, Fake, 0.9897, 0.9897
data\processed\features\test\real\ja_19_dc314a99f5\frame_03.jpg, Real, Fake, 0.8016, 0.8016
data\processed\features\test\real\ja_46_4630be182d\frame_03.jpg, Real, Fake, 0.7437, 0.7437
data\processed\features\test\real\ru_28_2a3fdf7993\frame_03.jpg, Real, Fake, 0.9907, 0.9907
data\processed\features\test\real\ru_2_3781e0d225\frame_03.jpg, Real, Fake, 0.9034, 0.9034
data\processed\features\test\real\zh_84_f00f79c0b1\frame_03.jpg, Real, Fake, 0.9964, 0.9964
data\processed\features\test\real\zh_96_d819c24932\frame_03.jpg, Real, Fake, 0.9944, 0.9944
